tpms,geometry_id,L_mm,t_mm,Dh_mm,n,m_sco2,m_water,K_m2,B_smooth,B_sco2,B_ratio,darcy_share_max,rmsre_smoothdf,medape_smoothdf,bias_smoothdf,rmsre_refit,medape_refit
Diamond,D_4_3,4.0,0.3,1.5474464878671774,270,0.17210342678458704,0.136530512459309,5.7501993267967795e-08,682.3880545210086,634.2507874604684,0.9294576352243894,0.014496488794953364,0.22774288106216656,0.21963743989176013,0.21963743989176013,0.09563754893704354,0.07157927995568131
Diamond,D_4_4,4.0,0.4,1.393027571907535,270,0.17210342678458704,0.136530512459309,4.6598404288558186e-08,768.098430035172,806.8009550300836,1.0503874548905658,0.016134352574798363,0.08676658932086224,0.05544193346370473,0.04580169439971553,0.06251024419405149,0.042478409761184124
Diamond,D_4_5,4.0,0.5,1.2427281789783167,270,0.17210342678458704,0.136530512459309,3.7085480676970706e-08,873.2925253514287,868.624647530323,0.9946548519704469,0.016365895722194043,0.12335543897107829,0.11185964180920453,0.11185964180920453,0.04605939995412395,0.03229639341090457
Diamond,D_4_6,4.0,0.6,1.1042539027982328,270,0.17210342678458704,0.136530512459309,2.9281242810268273e-08,990.6039414304388,988.7265765226996,0.9981048279446292,0.017010538562214815,0.11567741698575335,0.11243369136519306,0.11243369136519306,0.0654606140534244,0.04720971263707548
Diamond,D_5_3,5.0,0.3,2.0557289566532257,270,0.17210342678458704,0.136530512459309,1.0148067022347801e-07,467.6728556674007,480.0708521752568,1.0265099767019048,0.016042229665695285,0.14301053552598125,0.12293381677350197,0.05965139012143358,0.10144965867842434,0.09505155680253485
Diamond,D_5_4,5.0,0.4,1.891116812040363,270,0.17210342678458704,0.136530512459309,8.587926744835278e-08,525.6782461573157,546.5371260509214,1.0396799373877141,0.01671263216524218,0.11734743944779716,0.10255580944951309,0.08238176152342519,0.08792780980651611,0.06934176950983999
Diamond,D_5_5,5.0,0.5,1.7412844648844188,270,0.17210342678458704,0.136530512459309,7.281000670087212e-08,584.1770040155262,636.2236055750272,1.0890938896973728,0.015168543428173142,0.06514194649472395,0.05645856045534221,0.00020461440980771434,0.05738173303023256,0.022798185479575624
Diamond,D_5_6,5.0,0.6,1.5909678890713377,270,0.17210342678458704,0.136530512459309,6.078192477097849e-08,651.3937960505937,652.7719235138856,1.0021156594853182,0.016483728848827473,0.12257427329332445,0.07469417101916287,0.07469417101916287,0.07485119743587972,0.06013997727767394
Diamond,D_6_3,6.0,0.3,2.5623337284751684,270,0.17210342678458704,0.136530512459309,1.5766053894983264e-07,318.65041682143925,355.5149048249269,1.115689439139021,0.01873095043391469,0.09830011426622239,0.053877074823358656,-0.003162098649678494,0.10557108349302625,0.05905365947582869
Diamond,D_6_4,6.0,0.4,2.3888241301059003,270,0.17210342678458704,0.136530512459309,1.3703136215102192e-07,357.8139429458589,425.23626569966336,1.188428439089659,0.016536842608243747,0.1777428766080305,0.17755620497866542,-0.11076297164529028,0.14256246697870073,0.10981314347185088
Diamond,D_6_5,6.0,0.5,2.250341256476684,270,0.17210342678458704,0.136530512459309,1.2160414677971234e-07,394.8330464211563,393.8221455116516,0.9974396750255135,0.017874280691127436,0.15364588022590467,0.05716727965073317,0.05716727965073317,0.094705052108845,0.07491567913138142
Diamond,D_6_6,6.0,0.6,2.089541357861302,270,0.17210342678458704,0.136530512459309,1.0484640964925598e-07,437.25310051289284,448.3017109506389,1.0252682266284359,0.016386475884657904,0.1140171877707911,0.07843192676303282,0.07428938927544226,0.07101256720292042,0.04387643356441659
Diamond,D_7_3,7.0,0.3,3.090654788650358,270,0.17210342678458704,0.136530512459309,2.2937845252634715e-07,267.8068757061707,308.04357854546623,1.150245219556805,0.021301725260913274,0.11079458784155552,0.10016949341331935,-0.074971809353058,0.10682914446227573,0.09187762211628214
Diamond,D_7_4,7.0,0.4,2.9032991967871484,270,0.17210342678458704,0.136530512459309,2.0241151155620556e-07,291.64043119837663,350.2381000654105,1.2009243664407256,0.01742777019727275,0.10757112797345654,0.10077777483463572,-0.10077777483463572,0.06426303035003628,0.050786754418498066
Diamond,D_7_5,7.0,0.5,2.755236206896552,270,0.17210342678458704,0.136530512459309,1.8229270695572037e-07,311.6351026556957,424.81242678291534,1.3631725796059038,0.013496936420371591,0.22040165815741675,0.22124463032706498,-0.22124463032706498,0.10146647603900345,0.05469866520326544
Diamond,D_7_6,7.0,0.6,2.5991012569228107,270,0.17210342678458704,0.136530512459309,1.6221761754170678e-07,336.27564000080565,364.04960904890305,1.0825928665187607,0.017195465662506643,0.06490496249910557,0.05894247129323911,0.024741548837514823,0.05122417381035561,0.04136390146897828
Diamond,D_8_3,8.0,0.3,3.589515046296297,270,0.17210342678458704,0.136530512459309,3.094020425583014e-07,199.19961429000506,182.39169357659483,0.9156227246055788,0.029770410706269075,0.20644162934504312,0.19157101776021473,0.19157101776021473,0.07290035790011166,0.0637313440849005
Diamond,D_8_4,8.0,0.4,3.416444971300225,270,0.17210342678458704,0.136530512459309,2.802854025774813e-07,224.76860283685417,268.0531534837091,1.192573829709982,0.021142601737367886,0.10094771617554694,0.07298024543024825,-0.07298024543024825,0.060892177233241376,0.037637674128759964
Diamond,D_8_5,8.0,0.5,3.2576938414941954,269,0.17210342678458704,0.136530512459309,2.548426742819575e-07,252.33100918529786,266.3167681900603,1.0554262397234424,0.02325613536299507,0.13766710434895849,0.10493442788440001,-0.03869616695479159,0.150429579869749,0.12911507728585575
Diamond,D_8_6,8.0,0.6,3.094892975734355,270,0.17210342678458704,0.136530512459309,2.3000797307187123e-07,284.89826467682093,287.2951396513356,1.0084130908176419,0.020413387402765434,0.13093856911802035,0.08941169226828127,0.08923967885784923,0.07207494648595815,0.03222400706053343
Gyroid,G_4_3,4.0,0.3,2.03249862451988,270,0.1124441259519222,0.1058601006452101,4.6367727201476055e-08,543.1383490789545,523.5601137480804,0.9639535021526752,0.03238932170758713,0.07824000013796063,0.048337043765668795,0.04590734936508712,0.05325480699755722,0.03477687137517484
Gyroid,G_4_4,4.0,0.4,1.8700554143500134,270,0.1124441259519222,0.1058601006452101,3.9252221404940016e-08,588.7620404932553,548.9974261131858,0.932460634950658,0.033016201365699875,0.10908906005799218,0.10437830793969727,0.10437830793969727,0.05941018323174118,0.048199106026750524
Gyroid,G_4_5,4.0,0.5,1.7179080150179564,270,0.1124441259519222,0.1058601006452101,3.312493996248732e-08,638.1656965230804,597.3399921849418,0.9360264825255111,0.032760847294890066,0.10631347701002535,0.09973377599178297,0.09973377599178297,0.05777109544963818,0.039022978077556614
Gyroid,G_4_6,4.0,0.6,1.5625136851570842,270,0.1124441259519222,0.1058601006452101,2.740330519223437e-08,697.8924992769616,618.8419759405244,0.886729656188688,0.03397784099441608,0.15920959703062001,0.13208686286904142,0.13208686286904142,0.05806817631790172,0.027231830758602662
Gyroid,G_5_3,5.0,0.3,2.6685692685814293,270,0.1124441259519222,0.1058601006452101,7.993044828128655e-08,404.26687554289555,389.6499466653619,0.9638433674341872,0.03582910185947517,0.09399963065145074,0.07041051801796655,0.055895062884842125,0.0769927124332601,0.044865337233522
Gyroid,G_5_4,5.0,0.4,2.4946021515860637,270,0.1124441259519222,0.1058601006452101,6.984862690930678e-08,438.5305469942626,404.493576977389,0.9223840385802842,0.03585986908063585,0.13199036816002246,0.08620938150479368,0.08342139044635877,0.08106087155493616,0.048249015375323154
Gyroid,G_5_5,5.0,0.5,2.337569267937517,270,0.1124441259519222,0.1058601006452101,6.133159594521873e-08,474.05427791530195,427.47035335267816,0.9017329307363685,0.03542471584503475,0.1498221608979344,0.12357974948167443,0.12357974948167443,0.07385066363273755,0.04836080736017872
Gyroid,G_5_6,5.0,0.6,2.17922995951417,270,0.1124441259519222,0.1058601006452101,5.3304197532818054e-08,513.6845639392577,450.38455854033117,0.8767726152534113,0.03415342847396541,0.17322167326866209,0.15856237342086427,0.15856237342086427,0.060819029478515994,0.03539170267539048
Gyroid,G_6_3,6.0,0.3,3.3057038189641927,270,0.1124441259519222,0.1058601006452101,1.2265440978563183e-07,339.54710117449696,324.6799908624534,0.9562148807614081,0.03680020167333996,0.1110316142194313,0.07919116402123175,0.06135459310671961,0.0916834587340324,0.06306605168190883
Gyroid,G_6_4,6.0,0.4,3.1264405388665226,270,0.1124441259519222,0.1058601006452101,1.097123795680504e-07,357.1032509140879,328.85359085116926,0.9208921789689477,0.037521010522985884,0.13675090242299498,0.10602016294563482,0.09887012204430623,0.08689481138700735,0.058376388425554655
Gyroid,G_6_5,6.0,0.5,2.9702921044378234,270,0.1124441259519222,0.1058601006452101,9.902699707371951e-08,372.90177023108515,340.5992270182343,0.9133751947789543,0.03516736082552218,0.1388219294865539,0.1078563385254884,0.10711940115784185,0.07756628288191697,0.04977963395822807
Gyroid,G_6_6,6.0,0.6,2.80508312152502,270,0.1124441259519222,0.1058601006452101,8.831749816111472e-08,390.9561683889029,358.9892871254561,0.9182341043621857,0.037611827574205205,0.1371116219613503,0.09216542098995778,0.0900996437739966,0.08419360273808757,0.05555277785495548
Gyroid,G_7_3,7.0,0.3,3.9516877590176516,270,0.1124441259519222,0.1058601006452101,1.7527522420067447e-07,283.2957735606941,273.7176171000044,0.9661902599523334,0.035402382728561214,0.10366903723680396,0.0743908598094849,0.04746099687990658,0.09090372194646086,0.07028474870507119
Gyroid,G_7_4,7.0,0.4,3.767920022630253,270,0.1124441259519222,0.1058601006452101,1.5935241140967113e-07,291.3334345392627,272.1393105947672,0.9341163022539771,0.0375985109729457,0.1278500607175041,0.07472715528120318,0.07106561634195684,0.09151214504260319,0.06368279201438992
Gyroid,G_7_5,7.0,0.5,3.5990264091803956,270,0.1124441259519222,0.1058601006452101,1.4538692625989867e-07,297.2874917621445,277.04920745067903,0.9319235256367334,0.039002671121058374,0.13207435191023206,0.09520101189746251,0.08478920986435723,0.09295172479990953,0.06045165582848014
Gyroid,G_7_6,7.0,0.6,3.4387086805555556,270,0.1124441259519222,0.1058601006452101,1.327229597172973e-07,301.5573340471352,275.91456250178527,0.9149655184929383,0.038074235234767315,0.14402998335413356,0.11407683806286534,0.10500212039710262,0.09255664349912043,0.07272200794923185
Gyroid,G_8_3,8.0,0.3,4.586689998468372,270,0.1124441259519222,0.1058601006452101,2.3613157545713196e-07,224.60801518011127,223.51394843921585,0.9951289951072401,0.03790526622659336,0.08093965591896424,0.05618168275254332,0.02321649271732326,0.0792005818848759,0.0472709475640301
Gyroid,G_8_4,8.0,0.4,4.407605091952257,270,0.1124441259519222,0.1058601006452101,2.1805228406334544e-07,228.59859157746365,216.65455117486712,0.9477510324093614,0.04200578250698825,0.11701810754774264,0.09155214640496373,0.06576931484363904,0.09217363027230156,0.056162988098046845
Gyroid,G_8_5,8.0,0.5,4.2377104272975625,270,0.1124441259519222,0.1058601006452101,2.0156626201121603e-07,232.81689180533445,237.3836016232215,1.0196150278550469,0.03736711995551268,0.07630954609696239,0.049296881417418836,-0.008801036182868368,0.07758893681610901,0.05198049054297116
Gyroid,G_8_6,8.0,0.6,4.06499724903976,270,0.1124441259519222,0.1058601006452101,1.854709088059035e-07,236.7518723804007,224.23381414703974,0.9471258321740004,0.04276534130217377,0.1222905595823566,0.07093779624293228,0.05228986157658911,0.0990110432006162,0.06163172158093569
