tpms,geometry_id,n_test,d_dhl,rmsre,medape,p95ape
Diamond,D_4_3,540,-0.2832246978761166,0.18577706390373205,0.08253790218518504,0.36888046163838023
Diamond,D_4_4,540,-0.27518431946678445,0.17490555555543666,0.08058357772306834,0.38273011033094545
Diamond,D_4_5,540,-0.28792249883561144,0.17610212715266046,0.0961959230407356,0.375551326112301
Diamond,D_4_6,540,-0.34257203977041517,0.20254740993258313,0.14041526926078118,0.3882226694212941
Diamond,D_5_3,540,-0.293745543244674,0.18545076442059133,0.08159189484813505,0.3694939788983018
Diamond,D_5_4,540,-0.2818591848610815,0.17725732534249794,0.076968680545215,0.37792038914667475
Diamond,D_5_5,540,-0.27575924963285003,0.17270818857102516,0.08662167957109873,0.3810106820298205
Diamond,D_5_6,540,-0.29083414063116547,0.18356965650875393,0.10179142980706499,0.39307722293546865
Diamond,D_6_3,540,-0.2860101374152113,0.19179629924422145,0.09993146739522377,0.3731218663770291
Diamond,D_6_4,540,-0.28793486701865006,0.18171715988429904,0.0712455872699192,0.3850992193346381
Diamond,D_6_5,540,-0.28254727389473505,0.21134528799366264,0.1183905380019095,0.3895880675231726
Diamond,D_6_6,540,-0.28339611786305413,0.18399543129278365,0.09771650996728044,0.3872275409411578
Diamond,D_7_3,540,-0.2827806807644856,0.17736308660597228,0.07093859363585919,0.3648184033089173
Diamond,D_7_4,540,-0.30338444664499775,0.1923287220507723,0.10270439074654268,0.3927388117061621
Diamond,D_7_5,540,-0.29457675156199314,0.18152049039235885,0.0935146382623274,0.41144836535096824
Diamond,D_7_6,540,-0.2814762488568433,0.1759870659636719,0.09032619141518525,0.3768759251662148
Diamond,D_8_3,540,-0.19157033982111643,0.2832065147017561,0.20355261318073808,0.45287099056869246
Diamond,D_8_4,540,-0.27058542322358714,0.19123246296011726,0.09060153017669018,0.38003519586802625
Diamond,D_8_5,538,-0.2791338654135609,0.19183318685907177,0.1033818962300459,0.3775748663219024
Diamond,D_8_6,540,-0.2755285875727571,0.21925249822012183,0.14337181941721505,0.4025874172616408
Gyroid,G_4_3,540,-0.04950276378414801,0.1902800761688617,0.08668358702993728,0.37040076095849184
Gyroid,G_4_4,540,-0.0296516395976284,0.18346888295218566,0.0831821717910643,0.37090621246361744
Gyroid,G_4_5,540,-0.031854305589077134,0.18875565762995664,0.08247628720918349,0.3538763195903915
Gyroid,G_4_6,540,-0.03681708661803462,0.18594753572463182,0.08739343273721721,0.37894377117078043
Gyroid,G_5_3,540,-0.06152076814159288,0.17844540431646233,0.06438051341077589,0.3891897326560878
Gyroid,G_5_4,540,-0.044221459153565096,0.1876334503385905,0.07334699799013686,0.38190451100048217
Gyroid,G_5_5,540,-0.050784344614501195,0.19576247158541454,0.07889489174031711,0.3761940092463569
Gyroid,G_5_6,540,-0.06453059820052387,0.2001871265829001,0.09703144562474067,0.3617664409271295
Gyroid,G_6_3,540,-0.0584347683153317,0.1823389812175678,0.06961268327257106,0.3727600866246118
Gyroid,G_6_4,540,-0.04229227771012645,0.18851019762436,0.07597672874385059,0.36822740501810985
Gyroid,G_6_5,540,-0.04503804888329854,0.19161585870184025,0.07703361769554612,0.3841465713552483
Gyroid,G_6_6,540,-0.04784721260719462,0.1900140340420489,0.07775033203840925,0.36024636384030556
Gyroid,G_7_3,540,-0.054832424145698694,0.18581997369392922,0.06640623644970248,0.3877102968420605
Gyroid,G_7_4,540,-0.0360874889319961,0.19701231278599204,0.07870474844332365,0.3636989227301848
Gyroid,G_7_5,540,-0.03848645780947745,0.19700460439554837,0.08830010803783475,0.36053331849996545
Gyroid,G_7_6,540,-0.04432557947982024,0.18820031705047552,0.0863919616869345,0.37322089026565874
Gyroid,G_8_3,540,-0.023626421427334975,0.19533178527677691,0.0750650350983113,0.3497903642025988
Gyroid,G_8_4,540,-0.050019067212762426,0.1855450965246133,0.06936123849758008,0.3822966276178829
Gyroid,G_8_5,540,-0.030584352945778742,0.19967029094589664,0.08758883257782496,0.37578146226937564
Gyroid,G_8_6,540,-0.04322067104308354,0.19658755634925873,0.09142253498243805,0.38963782768898764
