topo,fit,slope,eval,metric,value
Gyroid,cold,amp,-,dexp,0.0
Gyroid,cold,amp,-,sigma_ln,0.504233280771335
Gyroid,cold,amp,-,n_fit,27.0
Gyroid,cold,amp,-,gamma_band68_relhalf,0.5444301447830366
Gyroid,cold,amp,hot,medape,0.6515882710646839
Gyroid,cold,amp,hot,cover68,0.0
Gyroid,cold,amp,hot,cover95,0.5
Gyroid,cold,amp,cold,medape,0.3123581779143088
Gyroid,cold,amp,cold,cover68,0.7037037037037037
Gyroid,cold,amp,cold,cover95,0.9629629629629629
Gyroid,pooled,free,-,G0,5.220804779318233
Gyroid,pooled,free,-,dexp,-0.15387184667523035
Gyroid,pooled,free,-,sigma_ln,0.5985042860314962
Gyroid,pooled,free,-,n_fit,71.0
Gyroid,pooled,free,-,gamma_band68_relhalf,0.6410614317385305
Gyroid,pooled,free,hot,medape,0.3203434854380737
Gyroid,pooled,free,hot,cover68,1.0
Gyroid,pooled,free,hot,cover95,1.0
Gyroid,pooled,free,cold,medape,0.5131642277979915
Gyroid,pooled,free,cold,cover68,0.5925925925925926
Gyroid,pooled,free,cold,cover95,0.8148148148148148
Gyroid,pooled,amp,-,G0,5.220804779318229
Gyroid,pooled,amp,-,dexp,0.0
Gyroid,pooled,amp,-,sigma_ln,0.597458905408015
Gyroid,pooled,amp,-,n_fit,71.0
Gyroid,pooled,amp,-,gamma_band68_relhalf,0.6397350615537082
Gyroid,pooled,amp,hot,medape,0.3345877813322995
Gyroid,pooled,amp,hot,cover68,1.0
Gyroid,pooled,amp,hot,cover95,1.0
Gyroid,pooled,amp,cold,medape,0.568768410072578
Gyroid,pooled,amp,cold,cover68,0.5555555555555556
Gyroid,pooled,amp,cold,cover95,0.8148148148148148
