x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,Q_W_per_m,dP_Pa
6.725227e+00,6.100780e+00,6.855664e+00,7.057918e+00,6.532256e+00,5.283120e+00,6.620260e+00,4.439433e+00,6.472196e+00,5.258535e+00,4.126969e+00,5.674225e+00,5.162733e+00,5.542033e+00,5.076196e+00,5.425482e+00,7.542293e+00,6.359800e+00,4.670574e-01,4.249242e-01,4.407889e-01,3.398948e-01,4.890493e-01,3.508335e-01,4.271602e-01,4.352535e-01,3.905980e-01,3.321442e-01,3.051223e-01,3.434038e-01,3.601379e-01,4.606409e-01,4.362667e-01,3.651290e-01,3.417719e-01,3.654247e-01,1.333050e+04,9.733731e+03
5.751899e+00,5.412301e+00,5.294376e+00,4.858842e+00,4.937515e+00,6.767207e+00,4.658944e+00,7.321929e+00,4.831318e+00,6.462781e+00,7.325615e+00,7.019979e+00,6.063497e+00,7.094183e+00,7.546496e+00,7.017232e+00,5.809800e+00,5.568897e+00,3.718061e-01,3.789997e-01,3.617580e-01,4.667716e-01,3.126845e-01,4.013885e-01,3.463029e-01,3.838007e-01,4.145329e-01,4.431994e-01,4.973959e-01,4.149246e-01,4.728191e-01,3.636031e-01,3.226162e-01,4.026679e-01,4.198522e-01,4.097148e-01,1.318227e+04,8.144567e+03
5.166062e+00,6.606551e+00,4.390234e+00,4.268040e+00,4.130817e+00,7.380779e+00,6.331913e+00,4.906507e+00,6.664534e+00,4.879208e+00,4.630438e+00,7.533131e+00,5.943496e+00,6.697214e+00,7.068794e+00,7.804722e+00,5.391272e+00,5.084422e+00,4.995627e-01,4.555860e-01,4.505049e-01,4.334736e-01,4.712811e-01,4.490524e-01,3.241733e-01,4.010521e-01,3.635815e-01,3.555111e-01,3.770436e-01,4.758815e-01,3.867691e-01,4.344578e-01,3.279574e-01,3.837219e-01,3.728554e-01,3.402140e-01,1.258420e+04,8.540491e+03
6.325547e+00,5.918073e+00,7.952004e+00,7.568617e+00,6.348575e+00,4.927362e+00,4.384790e+00,7.789178e+00,4.024140e+00,7.833073e+00,7.823224e+00,5.132753e+00,6.782736e+00,4.127478e+00,5.538983e+00,5.650504e+00,7.131697e+00,6.844303e+00,3.885149e-01,3.483396e-01,3.465701e-01,3.599599e-01,3.460777e-01,3.985309e-01,4.058297e-01,3.554838e-01,4.375470e-01,4.698325e-01,4.193159e-01,3.544562e-01,4.991116e-01,3.382217e-01,4.135257e-01,4.461875e-01,4.885735e-01,4.848891e-01,1.372125e+04,1.006715e+04
7.296342e+00,7.846225e+00,5.765418e+00,5.617335e+00,7.308885e+00,5.889479e+00,7.684857e+00,6.048182e+00,5.352310e+00,6.739472e+00,6.963867e+00,4.195321e+00,4.421714e+00,7.724041e+00,4.023758e+00,6.787883e+00,6.652578e+00,4.386475e+00,3.099886e-01,4.277611e-01,4.173268e-01,3.088135e-01,4.374247e-01,4.946535e-01,3.637003e-01,3.317870e-01,3.091743e-01,4.197005e-01,3.318006e-01,3.136345e-01,3.329555e-01,4.900187e-01,3.870885e-01,4.764237e-01,4.351574e-01,4.424655e-01,1.348202e+04,8.997312e+03
4.195451e+00,4.659700e+00,6.326700e+00,6.293076e+00,5.216097e+00,6.436185e+00,5.598313e+00,5.180708e+00,7.960939e+00,5.535546e+00,5.521080e+00,6.607541e+00,7.320752e+00,5.169986e+00,6.618931e+00,4.629755e+00,4.885068e+00,7.684702e+00,4.023106e-01,3.698769e-01,3.852196e-01,4.852568e-01,3.610368e-01,3.453123e-01,4.562929e-01,4.866815e-01,4.834572e-01,3.057376e-01,4.645041e-01,4.421122e-01,4.467843e-01,3.873503e-01,4.733404e-01,3.389824e-01,3.008747e-01,3.824528e-01,1.309129e+04,8.606489e+03
4.010937e+00,7.944291e+00,4.804099e+00,4.537265e+00,6.913446e+00,4.773939e+00,4.248789e+00,6.129465e+00,7.083156e+00,6.940730e+00,5.744574e+00,7.856664e+00,5.272405e+00,5.795518e+00,4.725372e+00,7.666469e+00,4.192939e+00,6.390150e+00,3.134935e-01,4.031848e-01,3.181989e-01,4.568020e-01,3.540930e-01,3.913086e-01,3.040498e-01,3.496593e-01,4.928500e-01,3.121258e-01,4.494484e-01,3.595892e-01,3.208669e-01,3.004773e-01,4.860004e-01,4.603256e-01,3.092502e-01,3.041089e-01,1.363418e+04,9.481096e+03
7.480847e+00,4.507770e+00,7.365380e+00,7.361398e+00,4.568704e+00,7.290005e+00,6.038227e+00,5.012510e+00,5.724508e+00,5.767642e+00,6.801863e+00,5.448380e+00,6.485687e+00,7.349518e+00,6.132191e+00,5.758187e+00,6.456921e+00,5.681037e+00,4.245903e-01,3.991520e-01,4.847231e-01,3.365839e-01,4.288907e-01,4.406497e-01,4.223887e-01,4.951551e-01,3.185183e-01,4.139955e-01,3.542478e-01,4.818935e-01,4.089637e-01,4.222038e-01,3.723072e-01,3.226586e-01,4.310848e-01,4.707621e-01,1.308669e+04,8.698929e+03
6.388958e+00,6.696682e+00,5.428917e+00,5.324673e+00,5.530177e+00,6.269267e+00,5.766023e+00,4.771024e+00,4.896113e+00,4.674048e+00,7.911251e+00,4.379723e+00,4.874052e+00,4.751974e+00,7.680564e+00,6.676473e+00,7.946312e+00,7.080265e+00,4.773319e-01,4.755774e-01,3.513785e-01,3.821641e-01,3.389862e-01,3.400347e-01,3.580788e-01,4.175030e-01,4.343912e-01,4.638666e-01,4.917083e-01,4.469401e-01,3.746430e-01,3.747989e-01,4.270649e-01,3.560943e-01,4.965523e-01,4.002937e-01,1.329739e+04,9.347666e+03
5.102642e+00,5.758208e+00,6.990686e+00,6.523733e+00,7.999889e+00,5.784967e+00,7.946835e+00,7.904154e+00,6.286488e+00,7.597075e+00,4.603963e+00,6.783979e+00,7.899054e+00,6.321772e+00,5.212399e+00,4.772101e+00,5.718228e+00,4.848463e+00,3.849612e-01,3.205222e-01,4.460780e-01,4.119523e-01,4.626003e-01,4.905562e-01,4.654788e-01,3.626810e-01,3.604746e-01,3.623555e-01,3.119329e-01,3.191458e-01,4.611560e-01,4.525687e-01,3.126881e-01,4.187369e-01,3.683860e-01,3.747590e-01,1.344333e+04,8.498596e+03
