x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,Q_W_per_m,dP_Pa
7.799588e+00,7.007815e+00,6.885815e+00,8.000000e+00,8.000000e+00,8.000000e+00,5.337435e+00,7.187980e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,3.154603e-01,3.943667e-01,3.065007e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.761013e-01,3.000000e-01,3.000000e-01,3.698364e-01,3.000000e-01,3.558150e-01,3.000000e-01,3.000000e-01,3.258244e-01,4.909702e-01,4.011418e-01,3.000000e-01,1.372398e+04,4.091949e+03
7.569789e+00,6.804871e+00,7.345157e+00,5.135744e+00,7.204420e+00,5.443258e+00,6.316108e+00,4.272195e+00,6.992978e+00,6.727706e+00,4.228924e+00,7.598929e+00,4.182730e+00,5.901484e+00,7.545906e+00,6.674317e+00,4.972122e+00,4.821889e+00,3.485676e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.597097e-01,3.000000e-01,5.000000e-01,4.339234e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.935581e-01,4.708487e-01,3.000000e-01,1.415664e+04,9.503884e+03
7.379653e+00,6.959677e+00,6.983043e+00,8.000000e+00,8.000000e+00,7.188847e+00,6.070985e+00,5.948502e+00,6.847087e+00,8.000000e+00,8.000000e+00,5.977219e+00,7.463086e+00,6.884114e+00,8.000000e+00,8.000000e+00,7.376077e+00,7.882082e+00,3.431390e-01,3.234393e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.597926e-01,3.000000e-01,4.255988e-01,4.371843e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.297794e-01,4.585063e-01,3.000000e-01,1.397248e+04,7.171312e+03
7.417476e+00,6.709260e+00,7.469186e+00,6.159380e+00,8.000000e+00,4.000000e+00,6.063916e+00,4.000000e+00,6.928185e+00,8.000000e+00,4.000000e+00,4.000000e+00,4.207687e+00,4.000000e+00,4.000000e+00,5.658482e+00,5.445777e+00,4.000000e+00,3.192633e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.840032e-01,3.000000e-01,5.000000e-01,3.947392e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.623888e-01,4.561316e-01,4.045199e-01,1.429974e+04,1.212434e+04
7.460759e+00,6.720363e+00,7.340531e+00,6.992597e+00,8.000000e+00,8.000000e+00,5.704995e+00,7.077078e+00,8.000000e+00,8.000000e+00,7.277925e+00,8.000000e+00,5.109382e+00,7.466294e+00,8.000000e+00,8.000000e+00,7.303477e+00,7.143568e+00,3.054344e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.999894e-01,3.000000e-01,3.428173e-01,4.064851e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.162441e-01,4.986344e-01,4.387913e-01,3.395183e-01,1.391902e+04,5.659266e+03
