x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,Q_W_per_m,dP_Pa
7.799588e+00,7.007815e+00,6.885815e+00,8.000000e+00,8.000000e+00,8.000000e+00,5.337435e+00,7.187980e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,3.154603e-01,3.943667e-01,3.065007e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.761013e-01,3.000000e-01,3.000000e-01,3.698364e-01,3.000000e-01,3.558150e-01,3.000000e-01,3.000000e-01,3.258244e-01,4.909702e-01,4.011418e-01,3.000000e-01,1.372398e+04,4.091949e+03
7.417476e+00,6.709260e+00,7.469186e+00,6.159380e+00,8.000000e+00,4.000000e+00,6.063916e+00,4.000000e+00,6.928185e+00,8.000000e+00,4.000000e+00,4.000000e+00,4.207687e+00,4.000000e+00,4.000000e+00,5.658482e+00,5.445777e+00,4.000000e+00,3.192633e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.840032e-01,3.000000e-01,5.000000e-01,3.947392e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.623888e-01,4.561316e-01,4.045199e-01,1.429974e+04,1.212434e+04
7.460759e+00,6.720363e+00,7.340531e+00,6.992597e+00,8.000000e+00,8.000000e+00,5.704995e+00,7.077078e+00,8.000000e+00,8.000000e+00,7.277925e+00,8.000000e+00,5.109382e+00,7.466294e+00,8.000000e+00,8.000000e+00,7.303477e+00,7.143568e+00,3.054344e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.999894e-01,3.000000e-01,3.428173e-01,4.064851e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.162441e-01,4.986344e-01,4.387913e-01,3.395183e-01,1.391902e+04,5.659266e+03
8.000000e+00,6.911355e+00,7.366169e+00,8.000000e+00,8.000000e+00,5.259974e+00,6.560512e+00,6.481234e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,4.881083e+00,4.000000e+00,8.000000e+00,7.886427e+00,8.000000e+00,7.421434e+00,3.000000e-01,3.021399e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.328415e-01,3.000000e-01,3.313780e-01,3.266792e-01,3.000000e-01,3.458537e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,3.749929e-01,4.004260e-01,1.417081e+04,7.960907e+03
8.000000e+00,6.899874e+00,7.399779e+00,8.000000e+00,8.000000e+00,4.000000e+00,6.860734e+00,4.861113e+00,8.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,4.623297e+00,4.000000e+00,6.896714e+00,8.000000e+00,7.441054e+00,5.337889e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.816602e-01,3.000000e-01,3.500167e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,3.571396e-01,5.000000e-01,1.429846e+04,9.598284e+03
8.000000e+00,6.986356e+00,7.075906e+00,8.000000e+00,8.000000e+00,7.028756e+00,6.236184e+00,7.010866e+00,8.000000e+00,8.000000e+00,7.255791e+00,8.000000e+00,6.022524e+00,5.356288e+00,8.000000e+00,8.000000e+00,8.000000e+00,7.246869e+00,3.000000e-01,3.217230e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.311101e-01,3.000000e-01,3.000000e-01,3.037712e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,3.000000e-01,5.000000e-01,1.401417e+04,6.731217e+03
