variant,topo,mdot,Re_ref,dp_meas,dp_pred_med,ape,lo68,hi68,lo95,hi95,in68,in95,choked_frac,n_loo,gamma_total_med
per_topo,Diamond,0.00432,916.7976264300595,4474.303777708397,4705.963149895986,0.051775512727085714,4587.578672471871,4824.64934914908,4468.803264699527,4988.822641755822,False,True,0.0,14,2.323877526077519
per_topo,Diamond,0.0064800000000000005,1365.6343461013616,9832.287713091027,9619.400929486015,0.02165180574624233,9317.829967796344,9921.936303974057,8997.863338895391,10283.806234319814,True,True,0.0,14,2.311219825208881
per_topo,Diamond,0.00864,1815.5714407967805,16583.617047509455,15722.110447082217,0.05194925799113406,15243.803608526507,16186.28509590853,14699.58029860029,16762.79652016256,False,True,0.0,14,2.305245151574324
per_topo,Diamond,0.0108,2266.732921935153,23832.051932155973,22855.47967688874,0.040977262807554156,22063.901653691737,23643.610429102617,21383.2545019899,24547.49589207438,False,True,0.0,14,2.3071245155320677
per_topo,Diamond,0.012960000000000001,2708.187048280329,31678.89630549519,30795.397792535936,0.027889182263145858,29782.549030139133,31949.99756837815,28613.99542957558,33249.27215586506,True,True,0.0,14,2.3090789501462456
per_topo,Diamond,0.01512,3153.7640748957333,39742.18268604903,39373.66726634975,0.009272651746645088,37794.42704236229,40800.628738254054,36378.64383139438,42454.69790463161,True,True,0.0,14,2.3112232392041197
per_topo,Diamond,0.01728,3608.8047922956894,47690.350562222426,48320.02330938565,0.013203357487206574,46421.29576570941,50357.604934262075,44477.60169965416,52587.250916240286,True,True,0.0,14,2.3144911308956444
per_topo,Diamond,0.01944,4037.7532420233974,56502.55689158302,57761.54812134407,0.022282022248600174,55424.894008120544,60236.116963529144,53126.66111260874,62727.53785412444,True,True,0.0,14,2.3153703970415602
per_topo,Diamond,0.025920000000000002,5376.63108142294,81883.26089065683,86853.34377367154,0.06069717826274077,83101.39365940948,90534.81955530762,79676.47692492306,95128.52086843929,False,True,0.0,14,2.319291733020194
per_topo,Diamond,0.028079999999999997,5805.114393549947,90676.31743421053,96713.84643083188,0.06658330606557579,92961.36612491652,100838.47012218519,88496.53586261632,105419.36380443178,False,True,0.0,14,2.320336948614277
per_topo,Diamond,0.03024,6259.46463853593,99710.73078793773,104759.89043063759,0.05063807679274043,100422.11441268015,109421.5936258839,95731.62203692234,115357.37713331758,False,True,0.0,14,2.3180529812088806
per_topo,Diamond,0.032400000000000005,6740.392670147788,108443.83606959078,113006.85058704834,0.04207721418605455,108152.57976305626,118256.55677779319,103460.33290332933,124510.71119549735,True,True,0.0,14,2.317564662829027
per_topo,Diamond,0.03456,7221.7597013040995,116867.33055618104,119379.24935164941,0.02149376377054177,113937.5093107408,124840.94449863906,108142.65272968212,129986.42178027196,True,True,0.0,14,2.3141301178659335
per_topo,Diamond,0.03672,7714.110678153627,124996.79376083189,126434.10228838847,0.011498763162731358,120759.76125989249,132361.85142576235,114726.61180035773,138824.17249623613,True,True,0.0,14,2.312603545910051
per_topo,Diamond,0.03888,8196.014122824838,133780.381930981,132163.38939724042,0.012086918204306027,126275.33664571677,138272.8400252324,120651.63418872954,145045.18214433224,True,True,0.0,14,2.3088078939359464
per_topo,Gyroid,0.004553830392670158,881.4033657889896,3924.818677589801,4051.5862794349523,0.03229897028593384,3856.0853360439073,4255.683977434963,3657.7317700296944,4465.889432890044,True,True,0.0,14,2.4809301017813943
per_topo,Gyroid,0.006830745589005235,1317.8227464653103,8209.55638630965,8543.20707759836,0.04064174427805973,8127.344769816086,9021.433761162049,7724.288917706657,9530.771646437064,True,True,0.0,14,2.478220161495339
