direction,n,cover68,cover95,width68,width95,rmsre50,bias50
dir(0401 交付方向),16,0.8125,0.9375,1.144938893882118,1.3269317325192476,0.04922896482515686,-0.010619298312962147
raw(0407 锚方向),16,0.0,0.0625,1.127570076060552,1.284353583894461,0.2528564644699426,-0.24686413889594847
