variant,note,n,rmsre_dp,bias_dp,med_dp,max_abs_dp,n_low,rmsre_q
production,现行 γ_df 面（含上海标定 534.8）——自己考自己，上界参照,16,0.048836003808037674,0.007646936956700654,-0.0010709641250785664,0.16008368521714764,8,0.021086705627174854
two_layer,双层合成面（零上海输入，锚 0407 方向）,16,0.2528564644699426,-0.24686413889594847,-0.2596248370628908,0.28380631627288094,16,0.02096759819302436
two_layer_dir,双层面 × 1.274（折算到 0401 原接法方向）,16,0.04922896482515686,-0.010619298312962147,-0.018688042954573193,0.14921407976112508,12,0.021070562600823677
ergun,物理化 Ergun 族——零参数，不看实验也不看 CFD,16,0.4112040373447429,-0.41001464149646094,-0.4189194271154228,0.4369347483060881,16,0.021012656948463167
smooth_only,只有光滑基 cF_dev、γ≡1——下界参照,16,0.6748789876998326,-0.6723021911906123,-0.6987746681955467,0.7163006516007626,16,0.021458202464409916
