topo,sheet,case,mdot,T_bar_C,rho,mu,u,Re_ref,dp_meas,dp_pred_spec,gamma_hx,darcy_frac,dp_nonphysical,dup_row,excluded,g_spec,K_dev,cF_dev
Diamond,D_7_6,工况1,0.008276760000000001,26.38883559006672,995.7350756452984,0.000862907207741853,0.01399362112950509,41.9677900009874,182.373259321055,78.64242008310126,2.319018910256597,0.8178705331372085,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况2,0.0166664,27.221556353420397,995.5148696611193,0.000847030500533753,0.028184322819269973,86.09195823782336,342.0120199812676,185.25026626822785,1.8462160776927632,0.6864280715598879,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况3,0.024734,27.312227605339103,995.4905575126697,0.0008453293254727178,0.04182835319279328,128.02307535248605,712.8057655194596,316.282176842937,2.253701971557609,0.5954827779966583,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况4,0.0332498,29.035790317278952,995.0159020067401,0.000813981704202232,0.056256482095614894,178.72867199902615,1073.4840950189052,475.2300697222077,2.258872414463173,0.5132518516399209,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况5,0.0415332,29.03069811155848,995.0173393630444,0.0008140716228141958,0.07027135041281979,223.23002695366938,1603.0960395173981,665.6387802874383,2.408357335828817,0.4577723135428882,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况6,0.0497004,32.74565740453397,993.9136048143529,0.0007523973394323531,0.08418307855473556,289.023041789104,2493.652851081445,854.7857653607299,2.9172840168075256,0.39469533795421136,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况7,0.0581664,34.69751708613592,993.2894533779224,0.000722898370263831,0.09858479015378704,352.05845147388686,2885.104415274463,1088.7418135616306,2.6499436132027876,0.3486659061653378,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况8,0.0662672,34.82220306151419,993.248546542695,0.0007210765242172148,0.1123192610241059,402.10280115616075,3570.535764905981,1351.8511080431042,2.6412196902916127,0.31911995040630203,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况9,0.0746668,38.44939257676742,992.0041072130722,0.0006711171258234228,0.12671488211357182,486.79829920900113,4228.806022061015,1623.016761401948,2.6055220886370933,0.27909378366044174,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况10,0.0828672,37.07021279006494,992.489686655294,0.0006894433325610028,0.14056274093609147,525.9009111319461,5348.856961566352,1956.6519747271097,2.7336782578886294,0.2638167893568385,False,True,True,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况11,0.0911672,37.07021279006494,992.489686655294,0.0006894433325610028,0.15464154110997885,578.5752812373095,5348.856961566352,2311.357762279204,2.314162285414398,0.24569979572024972,False,True,True,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况12,0.0993676,37.01276438342825,992.509582871616,0.0006902239956668233,0.1685480168377989,629.904312382586,6306.818909478995,2690.837368483341,2.343812741471537,0.23028914808984555,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况13,0.1077008,40.214997258772314,991.3602661189692,0.0006487711676613132,0.1828946391247834,726.3521440359916,7346.837993421053,3067.972589708212,2.3946882765728343,0.2060099822819294,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况14,0.116864,42.10857247081691,990.642043874339,0.0006261063838142278,0.19859922356141882,816.6809960795766,8591.346060311284,3532.4797310638696,2.4321005962924085,0.18749652479511988,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况15,0.12513080000000001,41.931952952707434,990.7102476386524,0.0006281660485103074,0.21263322243815833,871.5846960791782,9832.128767458957,4001.812713209044,2.456918769587944,0.1777853798940536,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
