variant,topo,L,t,gamma_total,lo68,hi68,lo95,hi95,band95_ratio,s_shape,cF_dev,cF_eff
per_topo,Diamond,6.0,0.3,3.6264469750787685,3.2692017785872545,4.013438886545079,2.778723517227737,4.704629542615615,1.6930901953531912,0.08031624232776588,182.7702938768178,662.8067793638435
per_topo,Diamond,6.0,0.4,3.1720596628786195,2.9368595274361895,3.428587332025791,2.634403697313091,3.8527559935566407,1.4624774469782988,0.056106610024872605,228.30910746463698,724.2101104563949
per_topo,Diamond,6.0,0.5,2.7849508738280457,2.633621949791898,2.941121000311009,2.44829030577725,3.165645261626961,1.2930024083161067,0.03415118493671297,236.99656463937364,660.0237897866685
per_topo,Diamond,6.0,0.6,2.441088685815375,2.3328789116272906,2.5536005946423015,2.2099507282961217,2.69718761315617,1.2204740941150798,0.022488975386791555,264.7649469539083,646.3147164096935
per_topo,Diamond,7.0,0.3,3.4324205492606867,3.1077751882928486,3.79023947433672,2.6653598237898417,4.419905609977215,1.6582772691803416,0.07710346793565576,156.16263230959842,536.0158281661065
per_topo,Diamond,7.0,0.4,3.0071960232619683,2.79938417718547,3.231622556509874,2.52260773855162,3.577804845885642,1.418296150926689,0.05140231195710383,169.2225072424245,508.8852508258386
per_topo,Diamond,7.0,0.5,2.6379539090381146,2.5139657572813388,2.7683934499360863,2.3738692284940313,2.9339923147679157,1.2359536403903864,0.025701155978551916,214.23622095821227,565.1452765342693
per_topo,Diamond,7.0,0.6,2.3135510255815355,2.237784944928649,2.3920816886382767,2.159083006890374,2.481341412507366,1.1492570709827066,0.0,188.02724494610598,435.01062538233407
per_topo,Diamond,8.0,0.3,3.2772153580645513,2.9573143936423927,3.6270934073285583,2.536192307054372,4.242139099116526,1.6726409457662557,0.07952639663333201,92.19287551124273,302.13590752957793
per_topo,Diamond,8.0,0.4,2.8711462023805483,2.6623125913927654,3.095379102341882,2.3789204595642754,3.4493246306700676,1.4499537455328995,0.054969997892602866,112.92143569678794,324.213951268192
per_topo,Diamond,8.0,0.5,2.5198228148865773,2.3868659735259095,2.657100557741199,2.225624347988733,2.84602713687795,1.278754493969239,0.03224984360289518,145.55540885265714,366.77384005706915
per_topo,Diamond,8.0,0.6,2.208990685904041,2.115257513932841,2.3046753868285226,2.012354882665153,2.4212190889964997,1.2031769892345474,0.019480836577964105,121.84956908768234,269.16456319611126
per_topo,Gyroid,6.0,0.3,3.498530809376213,3.276008153530283,3.736120418190781,3.0443182596458787,4.020691469234987,1.320719821751712,0.0259574025179658,182.85202653569362,639.7134483920009
