topology,case,included,exclusion_reason,u_mps,u_min_mps,u_max_mps,dp_floor,duplicate_row
Diamond,工况1,False,dp_floor,,7.656604926203154,22.759887982116293,True,False
Diamond,工况2,True,included,7.656604926203153,7.656604926203154,22.759887982116293,False,False
Diamond,工况3,True,included,10.910727345441144,7.656604926203154,22.759887982116293,False,False
Diamond,工况4,True,included,13.460454547037141,7.656604926203154,22.759887982116293,False,False
Diamond,工况5,True,included,15.556898004367824,7.656604926203154,22.759887982116293,False,False
Diamond,工况6,True,included,17.219168309293266,7.656604926203154,22.759887982116293,False,False
Diamond,工况7,True,included,18.51531208698468,7.656604926203154,22.759887982116293,False,False
Diamond,工况8,True,included,19.587912847507734,7.656604926203154,22.759887982116293,False,False
Diamond,工况9,True,included,20.48073679553624,7.656604926203154,22.759887982116293,False,False
Diamond,工况10,False,duplicate_row,,7.656604926203154,22.759887982116293,False,True
Diamond,工况11,False,duplicate_row,,7.656604926203154,22.759887982116293,False,True
Diamond,工况12,True,included,22.401504672081277,7.656604926203154,22.759887982116293,False,False
Diamond,工况13,True,included,22.742318820275525,7.656604926203154,22.759887982116293,False,False
Diamond,工况14,True,included,22.759887982116293,7.656604926203154,22.759887982116293,False,False
Diamond,工况15,True,included,22.69809300416385,7.656604926203154,22.759887982116293,False,False
Diamond,工况16,True,included,22.387806844339092,7.656604926203154,22.759887982116293,False,False
Diamond,工况17,True,included,22.22558586494548,7.656604926203154,22.759887982116293,False,False
Diamond,工况18,True,included,21.92903975479199,7.656604926203154,22.759887982116293,False,False
Gyroid,工况1,False,dp_floor,,7.5230599026715375,24.54137550823153,True,False
Gyroid,工况2,True,included,7.523059902671537,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况3,True,included,10.83771820879281,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况4,True,included,14.161004964319881,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况5,True,included,18.72231346589093,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况6,True,included,21.13632581857137,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况7,True,included,22.403441881352784,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况8,True,included,23.785575731721117,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况9,True,included,23.764819190974382,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况10,True,included,23.848071891114426,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况11,True,included,23.93905438959137,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况12,True,included,24.138431376761762,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况13,True,included,24.237119050923123,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况14,True,included,24.54137550823153,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况15,True,included,24.495260726048063,7.5230599026715375,24.54137550823153,False,False
Gyroid,工况16,True,included,24.221851644082136,7.5230599026715375,24.54137550823153,False,False
