x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,Q_W_per_m,dP_Pa
8.000000e+00,6.940225e+00,6.685926e+00,4.797422e+00,7.717164e+00,7.130682e+00,6.279355e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.307116e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.434720e+04,7.826796e+03
8.000000e+00,7.021838e+00,7.113108e+00,4.000000e+00,8.000000e+00,5.528629e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.448612e+04,9.137812e+03
8.000000e+00,6.800399e+00,8.000000e+00,7.005903e+00,8.000000e+00,8.000000e+00,4.072428e+00,8.000000e+00,3.000000e-01,3.000000e-01,5.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.394512e+04,6.010337e+03
8.000000e+00,6.950342e+00,8.000000e+00,5.431743e+00,8.000000e+00,8.000000e+00,6.609975e+00,8.000000e+00,3.000000e-01,3.000000e-01,4.255654e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.417064e+04,6.835442e+03
8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,5.000000e-01,5.000000e-01,3.000000e-01,3.000000e-01,4.501384e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.321424e+04,3.424171e+03
8.000000e+00,8.000000e+00,7.849064e+00,6.377556e+00,8.000000e+00,8.000000e+00,4.246135e+00,8.000000e+00,5.000000e-01,4.156118e-01,3.000000e-01,3.000000e-01,4.493003e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.357956e+04,6.009801e+03
8.000000e+00,8.000000e+00,7.091329e+00,8.000000e+00,8.000000e+00,6.646938e+00,4.000000e+00,8.000000e+00,3.645761e-01,5.000000e-01,3.000000e-01,3.000000e-01,3.695466e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.343674e+04,5.720527e+03
8.000000e+00,8.000000e+00,8.000000e+00,7.810937e+00,8.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,4.766105e-01,4.557001e-01,3.000000e-01,3.000000e-01,3.960204e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.338129e+04,3.720377e+03
